date,open,high,low,close,volume
26-09-2016,115.3235,117.0526,115.0075,116.1323,995428
27-09-2016,115.8627,118.419,115.2957,117.9264,998540
28-09-2016,118.0658,118.7444,116.8388,118.5771,1024424
29-09-2016,118.5585,118.6514,115.714,116.2159,1059743
30-09-2016,117.2106,118.2982,117.0433,117.6475,1475968
03-10-2016,117.1827,117.6196,115.7512,116.1602,1355108
04-10-2016,117.3314,118.0751,114.5241,115.4537,1274353
05-10-2016,115.1376,116.4205,115.1376,115.4072,1009901
06-10-2016,115.2678,116.4948,114.143,116.2345,833617
07-10-2016,116.2438,116.2438,114.7333,115.1376,754808
10-10-2016,116.1974,116.5785,115.7,115.872,438147
11-10-2016,115.7604,115.7604,113.4086,114.1058,631084
12-10-2016,113.9292,115.0633,113.2134,114.6821,605425
13-10-2016,113.6968,114.5334,112.7114,114.0314,814039
14-10-2016,115.2678,115.872,114.143,114.4776,958039
17-10-2016,114.4683,114.8773,113.8734,113.9199,682212
18-10-2016,115.2678,115.3235,113.8641,114.2359,804094
19-10-2016,114.6264,114.8123,113.734,114.0407,858953
20-10-2016,113.892,114.5148,113.3668,113.5202,948605
21-10-2016,112.6185,115.3143,112.4326,115.2585,1568705
24-10-2016,116.2531,116.8202,115.6768,115.8627,1243018
25-10-2016,115.6489,116.281,115.4165,115.5002,927388
26-10-2016,114.7007,115.3886,113.9571,114.6357,905611
27-10-2016,115.3607,115.8348,113.8269,114.2081,1134803
28-10-2016,114.6264,115.0354,113.2599,113.6689,735877
31-10-2016,114.1523,114.7751,113.0182,113.2692,1854201
01-11-2016,113.6224,113.9013,112.0421,112.414,1205408
02-11-2016,112.2931,112.3024,111.0475,111.0475,1459184
03-11-2016,111.0382,114.0593,110.9359,113.8734,2375146
04-11-2016,113.8548,114.9052,113.3342,113.9571,1511388
07-11-2016,116.0765,117.7776,115.7795,116.625,1273758
08-11-2016,116.69,118.6468,115.9092,117.5174,1216906
09-11-2016,116.4297,118.5213,114.8309,116.783,2097397
10-11-2016,117.0712,118.6886,115.4258,117.4337,1403280
11-11-2016,116.8666,117.6568,115.9557,116.625,1526808
14-11-2016,117.5174,117.7869,114.5241,115.0075,1597501
